name,type,abv,flavor_tags
whipped cream,other,,
whipping cream,other,,
whiskey,spirit,40,
whisky,spirit,40,
white creme de menthe,spirit,,
white rum,spirit,,
white wine,spirit,,
wild turkey,spirit,,
wine,spirit,14,
worcestershire sauce,other,,
wormwood,other,,
yellow chartreuse,liqueur,,
yoghurt,other,,
yukon jack,liqueur,,
zima,spirit,,
